1921年(民国十年 辛酉),上海,黄宾虹,洪四果、子女,家庭/亲属,夫人洪四果带领子女从安徽歙县正式迁居上海，全家结束了长期的分居状态，在上海安定下来,《洪孺夫人行状略述》、黄用明口述回忆,不详,,,,,,,
1921年(民国十年 辛酉),上海,黄宾虹,无,经营/收藏,继续经营宙合斋古玩书画店，该店在当时的上海古玩、书画界享有很高的声誉，成为文人雅士、藏家交流品鉴的重要场所，主营金石、书画、古物的品鉴、交流与经营,黄用明口述回忆、往来书信,不详,,,,,,,
1921年(民国十年 辛酉)12月,上海,黄宾虹,吴昌硕、高邕、王一亭,社交/雅集,参与上海书画研究会举办的年度雅集活动，与吴昌硕、高邕、王一亭等海上书画名家齐聚一堂，交流画艺，合作创作书画作品，同时为研究会的公益活动捐赠书画作品,1921年12月《申报》相关报道,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1922年(民国十一年 壬戌),上海,黄宾虹,王云五,学业/任职,受胡适推荐，进入商务印书馆编译所工作，出任美术部主任，该所由王云五担任所长,王云五《岫庐八十自述》、商务印书馆职员名录,不详,,,,,,,
1922年(民国十一年 壬戌)5月,上海,黄宾虹,宋若嬰,家庭/亲属,五子黄映宇出生，生母为宋若嬰,黄映宇相关生平资料,不详,,,,,,,
1922年(民国十一年 壬戌)6月13日,上海闸北香兴里,黄宾虹,宋若嬰、宣古愚、日本友人,收藏/鉴藏,"居所邻近失火，遭人趁机盗走古印箱，共计三十八钮古玺印；事后报案并与盗匪交涉，仅余""辟兵龙蛇""""丁无忌""二印留存",宋若嬰回忆录、陈进宦《金石纪闻》,不详,,,,,,,
1922年(民国十一年 壬戌),上海,黄宾虹,无,收藏/鉴藏,古印失窃后，将现存古印制成拓本分赠同好，并作诗《古玺得失不能忘情》排解心绪,《增辑古印一隅缘起》、黄宾虹诗作,不详,,,,,,,
1922年(民国十一年 壬戌),上海,黄宾虹,宋若嬰,家庭/迁居,古印失窃后，从闸北香兴里迁至宝山路宝通路口景德里二弄上虞许宅,宋若嬰回忆录,不详,,,,,,,
1922年(民国十一年 壬戌),上海,黄宾虹,胡韞玉,出版/编撰,计划搜集资料编撰画史派别源流相关著作，同时受商务印书馆指派，编辑《道咸同光名人赤牍》,黄宾虹致胡韞玉书信,不详,,,,,,,
1922年(民国十一年 壬戌)7月1日,上海,黄宾虹,康有为、王一亭、刘海粟、唐熊,公益/展览,参与上海美专筹建校舍募捐活动，配合发起古今名家书画展，捐献书画作品助力建校,1922年10月21日《时事新报》,不详,,,,,,,
1922年(民国十一年 壬戌)秋日,上海,黄宾虹,黄节,艺术/创作,应黄节之邀绘制山水扇，并落款题识,《黄宾虹全集》第一集,不详,,,,,,,
1922年(民国十一年 壬戌)秋冬,上海,黄宾虹,徐珂,艺术/创作,为徐珂创作《天苏阁图》《纯飞馆图》，画作笔墨沈雄浑厚，徐珂在著作中撰文评述,徐珂《天苏丛刊》,不详,,,,,,,
1922年(民国十一年 壬戌),上海、安徽贵池,黄宾虹,汪律本,其他,因生活不顺萌生耕读想法，多次前往安徽贵池乌渡湖，商议开垦圩田、经营渔湖事宜,《九十杂述》,不详,,,,,,,
1922年(民国十一年 壬戌)阴历12月6日,上海,黄宾虹,黄昂青,社交/通信,致信黄昂青，提及托谢月平代收款项遭其卷款潜逃，追查钱款下落,黄宾虹致黄昂青书信,不详,,,,,,,
1922年(民国十一年 壬戌)冬,安徽贵池,黄宾虹,蔡哲夫,艺术/创作,在贵池汪氏别业留宿，作诗题山水画作赠予蔡哲夫,画作自题诗,不详,,,,,,,
1922年(民国十一年 壬戌)冬日,上海,黄宾虹,李健,艺术/创作,"检旧作赠予李健，落款署名""宾谼质""",画作题跋,不详,,,,,,,
1922年(民国十一年 壬戌)12月17日,上海、安徽歙县,黄宾虹,洪四果、黄用明等,家庭/亲属,因家庭矛盾，部分家人从上海暂时迁回歙县潭渡村故里,黄高勤、罗时敏口述资料,不详,,,,,,,
1923年(民国十二年 癸亥)1月,上海、苏州、杭州,黄宾虹,黄节、章太炎、王秋湄、诸贞壮,社交/交往,黄节受孙中山任命赴粤任职，途经苏、杭等地访友，双方有往来交集,相关人物年谱,不详,,,,,,,
1923年(民国十二年 癸亥)3月8日,上海,黄宾虹,许承尧,社交/交往,许承尧从安徽抵达上海，旅沪同乡预备接待会晤,1923年3月10日《时报》,不详,,,,,,,
1923年(民国十二年 壬戌)3月30日,上海,黄宾虹,胡韞玉、黄居素,学业/授艺,胡韞玉致信引荐黄居素拜师学画，黄宾虹拒收束脩并回赠古砚,胡韞玉书信、钱学文口述资料,不详,,,,,,,
1923年(民国十二年 癸亥),上海,黄宾虹,胡韞玉,出版/撰文,应胡韞玉邀约，为《民国日报·国学周刊》撰写《宾虹画语》，系统评述画学弊病与传统画理,《宾虹画语》原文,不详,,,,,,,
1923年(民国十二年 癸亥)初夏,上海,黄宾虹,潘达微,艺术/创作,将辛酉年所作《仿元人山水》赠予来访的潘达微，并题款留念,画作题跋,不详,,,,,,,
1923年(民国十二年 癸亥)5月20日,上海,黄宾虹,胡韞玉、朱尊一,社交/雅集,应约在俭德储蓄会与胡韞玉、朱尊一聚餐叙谈,胡韞玉书信,不详,,,,,,,
1923年(民国十二年 癸亥)5月27日,上海,黄宾虹,胡韞玉、陶牧,社交/交往,按约定与胡韞玉、陶晤会面相聚,胡韞玉书信,不详,,,,,,,
1923年(民国十二年 癸亥)5月,上海、杭州,黄宾虹,傅熊湘,艺术/创作,傅熊湘侍父畅游西湖后途经上海，请黄宾虹撰写《西泠撰杖图记》,傅熊湘《西泠撰杖图记》,不详,,,,,,,
1923年(民国十二年 癸亥)7月,上海,黄宾虹,陈去病,艺术/创作,为陈去病五十寿辰作画题诗祝寿,题画诗作,不详,,,,,,,
1923年(民国十二年 癸亥)7月28日,上海,黄宾虹,胡韞玉、童大年,社交/鉴藏,胡韞玉偕童大年登门，一同观赏品鉴所藏书画,胡韞玉书信,不详,,,,,,,
1923年(民国十二年 癸亥)7月25日起,上海,黄宾虹,胡韞玉,出版/连载,《中国画史馨香录》在《国学周刊》开始连载，因排版错漏问题双方沟通修订文稿,胡韞玉书信,不详,,,,,,,
1923年(民国十二年 癸亥)夏至,安徽贵池,黄宾虹,汪律本,社交/雅集,旅居贵池，与友人诗画酬唱，创作《贵池乌渡湖古松歌》,《南社丛刻》收录诗作,不详,,,,,,,
1923年(民国十二年 癸亥)8月12日,上海,黄宾虹,众多书画同仁,社交/社团,适逢飓风大雨，仍出席停云书画社成立大会,1923年8月21日《申报》,不详,,,,,,,
1923年(民国十二年 癸亥)8月,上海,黄宾虹,许沅等,其他,联合许沅等人，为葱慧道人拟定书画润例,1923年8月31日《时报》,不详,,,,,,,
1923年(民国十二年 癸亥)9月16日,上海,黄宾虹,吴昌硕、王一亭等,公益/集会,参与题襟馆书画会发起的赈济日本震灾集会，商议书画募捐事宜,1923年9月23日《时事新报》,不详,,,,,,,
1923年(民国十二年 癸亥)9月17日,上海,黄宾虹,无,社交/悼念,陈师曾在上海逝世，参与相关悼念活动,近代美术史料,不详,,,,,,,
1923年(民国十二年 癸亥)10月15日,上海,黄宾虹,章太炎,出版/发表,章太炎主办《华国》月刊，期刊内刊登黄宾虹山水作品与古玺印拓,《华国》月刊第二期,不详,,,,,,,
1923年(民国十二年 癸亥)10月22日,上海,黄宾虹,停云书画社社员,社交/会议,出席停云书画社常会并发言，提议刊行同人画集,1923年10月23日《申报》、任堇叔书信,不详,,,,,,,
1923年(民国十二年 癸亥)10月28日,上海,黄宾虹,无,学业/演讲,受上海专科师范学校邀请，登台讲授中国画学,1923年10月28日《申报》,不详,,,,,,,
1923年(民国十二年 癸亥)秋,上海、常熟,黄宾虹,宋若嬰,游历/写生,偕宋若嬰及亲友同游常熟虞山写生，创作《海虞山图》,宋若嬰回忆录、画作题跋,不详,,,,,,,
1923年(民国十二年 癸亥)秋,上海,黄宾虹,温其球,艺术/交往,顺德温其球创作花卉作品相赠,1933年11月18日《申报》,不详,,,,,,,
1923年(民国十二年 癸亥)冬日,上海,黄宾虹,无,艺术/润例,拟定山水画润例，标注收件处为上海艺观学会,1926年《艺观》杂志,不详,,,,,,,
1924年(民国十三年 甲子)1月23日,江苏南京,黄宾虹,吴昌硕、王一亭等,评审/展览,受聘为江苏省第一届美术展览会中国画部审查员,1924年1月25日《申报》、2月27日《时事新报》,不详,,,,,,,
1924年(民国十三年 甲子)2月19日,江苏苏州,黄宾虹,金天翮、邓椿澍等,社交/雅集,应金天翮邀约，赴苏州虎丘冷香阁赏梅雅集，合作《冷香阁图卷》、绘制《虎丘探梅图》,金天翮诗作、题画词,不详,,,,,,,
1924年(民国十三年 甲子)3月5日,江苏南京,黄宾虹,众审查员,评审/会议,出席江苏省美术展览会第二次审查会议，商定评奖、审查相关事宜,1924年3月18日《申报》,不详,,,,,,,
1924年(民国十三年 甲子)3月9日,上海,黄宾虹,无,艺术/评述,江苏省美术展览会开幕，撰文《会场读画记略》品评参展作品,1924年3月23日《申报》,不详,,,,,,,
1924年(民国十三年 甲子)3月12日,上海,黄宾虹,吴衡之、史德匿,收藏/鉴藏,参观吴衡之别墅举办的古画展览会，与外籍藏家史德匿一同品鉴古书画,1924年3月19日《申报》,不详,,,,,,,
1924年(民国十三年 甲子)3月,上海,黄宾虹,高剑父,社交/请托,受吴衡之委托，致信高剑父代为处理广州相关事务,高剑父往来书信,不详,,,,,,,
1924年(民国十三年 甲子)3月,上海,黄宾虹,宋若嬰,家庭/亲属,六子黄鉴（映字）出生，生母为宋若嬰,家族谱系资料,不详,,,,,,,
1924年(民国十三年 甲子)首夏,上海,黄宾虹,丁辅之,艺术/创作,为丁辅之绘制梅花作品,西泠印社相关藏品档案,不详,,,,,,,
1924年(民国十三年 甲子)春夏,上海,黄宾虹,无,出版/编撰,辞去商务印书馆职务，任职期间完成《古画微》一书,宋若嬰回忆录,不详,,,,,,,
1924年(民国十三年 甲子)8月20日,上海,黄宾虹,钱化佛,艺术/展览,作品参加钱化佛主办的艺乘书画展览会,1924年8月20日《申报》、周元琪《艺乘佛话》,不详,,,,,,,
1924年(民国十三年 甲子)秋,上海、安徽大通、贵池,黄宾虹,家人,游历/避乱,因江浙战争，携家人离沪避难，经大通前往贵池，计划开垦圩田,黄用明书信、黄宾虹致郑履端书信,不详,,,,,,,
1924年(民国十三年 甲子)秋,安徽贵池,黄宾虹,无,其他,当地遭遇山洪，圩田被冲毁，开垦计划失败,黄宾虹致黄树滋书信,不详,,,,,,,
1924年(民国十三年 甲子)秋,安徽贵池,黄宾虹,无,艺术/创作,游览齐山、昭明太子楼等地，创作多首纪游诗作,《同苏仰周游齐山》等诗作,不详,,,,,,,
1924年(民国十三年 甲子)冬,上海,黄宾虹,曾熙,社交/交往,拜访曾熙，二人交流画学心得,曾熙题画,不详,,,,,,,
1924年(民国十三年 甲子)12月19日,上海,黄宾虹,傅熊湘,社交/通信,收到傅熊湘来信，对方再次恳请绘制《西泠撰杖图》,傅熊湘往来书信,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,狄平子,出版/任职,进入有正书局工作，参与《中国名画集》编纂,宋若嬰回忆录,不详,,,,,,,
1925年(民国十四年 乙丑)1月,上海,黄宾虹,易孺,艺术/创作,创作《嘉陵山水图》赠予易孺并题诗，作品后刊载于《华南新业特刊》,画作题诗、刊物资料,不详,,,,,,,
1925年(民国十四年 乙丑)春,上海,黄宾虹,黄节、唐天如,艺术/交往,赠予黄节、唐天如画作，黄节来信索绘《笺诗图》并商议著作出版事宜,黄节书信,不详,,,,,,,
1925年(民国十四年 乙丑)春,上海,黄宾虹,胡韞玉,出版/连载,继续为《国学周刊》供稿，续写《中国画史馨香录》,胡韞玉书信,不详,,,,,,,
1925年(民国十四年 乙丑)4月,上海,黄宾虹,徐积馀,艺术/题跋,为徐积馀相关书画、文稿题跋撰文,相关题跋原件,不详,,,,,,,
1925年(民国十四年 乙丑)闰四月,上海,黄宾虹,程完心,艺术/创作,为郑旼后裔程完心创作《登高望远图》,浙江省博物馆藏品档案,不详,,,,,,,
1925年(民国十四年 乙丑)5月,上海,黄宾虹,刘晦之,艺术/创作,为收藏家刘晦之创作《访碑图》,《黄宾虹全集》,不详,,,,,,,
1925年(民国十四年 乙丑)5月,上海,黄宾虹,胡韞玉、萧蜕,社交/雅集,应胡韞玉邀约，与萧蜕等人会面叙谈,胡韞玉书信,不详,,,,,,,
1925年(民国十四年 乙丑)夏,上海,黄宾虹,多位同人,书画/润例,与胡韞玉、萧蜕等人共同为汪声远、余威丹拟定书画润例,《书画留真》,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,爱德华·布鲁斯,收藏/交流,与来华收购古画的美国学者爱德华·布鲁斯交流书画鉴赏见解,近代美术交流史料,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1925年(民国十四年 乙丑),上海闸北宝山路景德里,黄宾虹,宋若嬰,家庭/迁居,举家正式迁居上海闸北宝山路宝通路口景德里二弄上虞许宅，结束此前的临时居住状态,宋若嬰回忆录、相关年谱史料,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,宋若嬰,家庭/亲属,七子黄映楼出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1925年(民国十四年 乙丑)11月,上海/广州,黄宾虹,易孺、高剑父、潘达微,出版/艺术,在易孺创办的《华南新业特刊》上发表《中国画学谈——时习趋向之近因》一文，系统批判折衷派融合中西画法的主张，明确中国绘画的传统内核与发展方向；该文后被广州《七十二行商报》全文转载，成为广东新旧画派论战的核心理论依据,1925年11月《华南新业特刊》、相关近代美术史料,不详,,,,,,,
1925年(民国十四年 乙丑),上海/广州,黄宾虹,高剑父、潘达微,社交/艺术,广州爆发持续两年的新旧画派论战，论战双方为高剑父、潘达微为首的折衷派与广东国画研究会为代表的传统派；黄宾虹此前发表的批判折衷派的文章被收录进广东国画研究会特刊，成为论战的重要理论支撑,广东国画研究会特刊、相关近代美术史料,不详,,,,,,,
1925年(民国十四年 乙丑)下半年,上海威海卫路,黄宾虹,狄平子,出版/任职,脱离商务印书馆重入有正书局，迁居威海卫路（今威海路）三百零九号半，编辑刊印《中国名画集》，同时筹组中国金石书画艺观学会，醵资出版《艺观》画刊，以振兴中国画学,宋若嬰回忆录、相关出版史料,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,吴载和,社交/通信,致信吴载和，阐述“中画纯以笔墨为要，章法次之”的核心画学观点，告知对方自己计划刊行画学杂志的想法，脱稿后将寄奉请教,黄宾虹《与吴载和书》,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,狄平子、汪瘦岑、孙纯斋、何实斋、宋若嬰等,出版/社团,发起成立中国金石书画艺观学会，发布《中国金石书画艺观学会画报招股章程》，明确学会以“阐扬国粹，提倡研究金石书画”为宗旨，确定组织架构、股份规则、会员制度等内容，发起人共计11人，黄宾虹、夫人宋若嬰均在列,《中国金石书画艺观学会画报招股章程》、相关社团史料,不详,,,,,,,
1925年(民国十四年 乙丑)9月,广州/上海,黄宾虹,广东国画研究会同人,社交/社团,广东国画研究会正式成立，黄宾虹作为上海代表加入该会，成为该会早期会员之一,广州《国画特刊》1926年第一号、黄大德《地北天南慰思存——黄宾虹与广东画坛》,不详,,,,,,,
1925年(民国十四年 乙丑)秋,上海,黄宾虹,杨逸、王一亭等,社交/雅集,参加素月画社创立雅集，与社友诗酒联欢、交流画艺；素月画社由杨逸与弟子组建，王一亭亦曾参与该社活动,王谱、相关社团史料,不详,,,,,,,
1925年(民国十四年 乙丑)10月25日,上海,黄宾虹,无,艺术/发表,山水作品正式刊载于《东方杂志》第22卷第10期，作品自题五言诗一首，落款署名“宾虹”,《东方杂志》第22卷第10期,不详,,,,,,,
1925年(民国十四年 乙丑)冬,上海,黄宾虹,宋若嬰、鲍君白、许承尧,出版/组稿,开始为《艺观》画刊与杂志组稿；代宋若嬰撰写致鲍君白的邀约函，邀请对方加入学会、提供稿件；致信许承尧，邀约其撰写关于乡邦文献、经史佚闻的稿件，同时询问敦煌相关藏品情况,黄宾虹与鲍君白、许承尧往来书信,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,曾熙,社交/鉴藏,与曾熙往来甚密，曾熙对其画论、鉴藏能力高度评价，称其“论画有过人处”；二人多次相约品鉴石涛、梅清等名家画作，交流书画、金石心得,曾熙往来书信、相关交游史料,不详,,,,,,,
1925年(民国十四年 乙丑)11月,上海,黄宾虹,易孺,出版/编辑,《华南新业特刊》正式出版，该刊由易孺主持的华南印书社发行，易孺担任审定编辑，黄宾虹担任编辑,相关出版史料,不详,,,,,,,
1925年(民国十四年 乙丑)11月,上海,黄宾虹,蔡守、谈月色,艺术/创作,应蔡守的邀约，为谈月色创作焦墨粗笔山水册十六页，仅题“月色女”三字落款；谈月色为蔡守夫人，1922年与蔡守成婚,蔡守往来书信、徐珂《天苏阁丛刊·可言》,不详,,,,,,,
1925年(民国十四年 乙丑)仲冬,上海,黄宾虹,王雪帆,艺术/创作,为王雪帆创作《黄山文殊台图》，自题庚子年游黄山时所作的七言诗，落款“乙丑仲冬 黄宾虹画”,画作自题跋文,不详,,,,,,,
1925年(民国十四年 乙丑)12月16日,上海福州路有正书局,黄宾虹,宋若嬰、友人,经营/收藏,在有正书局二楼的中国珠宝古玩商场，与友人合租一个摊位营业谋生；日常上午在家看书、作画、练字，下午前往商场料理事务、鉴定文物，该商场摊位为花费二百元承接而来,1925年11月25日《申报》招租广告、宋若嬰《黄宾虹回忆录》,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,邓秋马,社交/艺术,在古玩商场与邓秋马（邓实之弟）匆匆会晤，交谈甚欢；归后寄赠个人画作与润格，委托其代为介绍业务，承诺介绍可给予格外优惠的折扣,黄宾虹与邓秋马往来书信,不详,,,,,,,
1925年(民国十四年 乙丑)12月,上海,黄宾虹,无,出版/著述,所著《古画微》由上海商务印书馆正式出版；该书探抉唐、宋、元、明名画精意，分别源流派别，考证优劣得失，是习国画者的必备参考书，后多次再版，收入《国学小丛书》《万有文库》,1926年《艺观》第一期广告、《黄宾虹文集》,不详,,,,,,,
1925年(民国十四年 乙丑),上海,黄宾虹,黄居素,艺术/创作,临摹王晋卿《瀛山图》，黄居素为该临摹作品撰写题跋,相关书画史料,不详,,,,,,,
1926年(民国十五年 丙寅)1月,上海,黄宾虹,余寿平、聂云台,艺术/润例,与余寿平、聂云台一同，为何实斋重订书法润例，撰写润例序言，评价何实斋的书法成就,《何实斋书例》,不详,,,,,,,
1926年(民国十五年 丙寅)2月20日,上海,黄宾虹,艺观学会同人,出版/创刊,《艺观》画刊首号正式出版，该刊为一期一张、八开八版，刊发《艺观杂志发刊辞预布》《编辑大意》《中国金石书画艺观学会小启》《本刊特告》等核心内容,1926年《艺观》画刊首号、相关出版史料,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,陈树人,出版/艺术,在《艺观》杂志专门邀约陈树人为杂志撰写画学相关文章，二人虽画学理念存在分歧，但始终保持专业上的交流与相互尊重,《艺观》杂志各期、相关交游史料,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,无,艺术/理论,在《艺观》杂志发表《画学散记》《古画微》等系列画学理论文章，系统阐述中国传统绘画的笔墨精神、创作理念与鉴赏方法，是其画学理论的核心集中呈现,1926年《艺观》杂志、《黄宾虹文集》,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,吴昌硕、王一亭、高邕,社交/雅集,持续参与上海书画研究会、停云书画社的各类雅集活动，与吴昌硕、王一亭、高邕等海上书画名家交流画艺，联合举办多场书画联展,1926年《申报》《时报》相关报道,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画、金石拓本、古印，在《艺观》杂志开设“藏印”“古画”专栏，发表藏品鉴赏与考证文章，推动传统金石书画的研究与传播,1926年《艺观》杂志、相关收藏史料,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,刘海粟,学业/任职,继续担任上海美术专科学校国画教授，系统教授中国山水画、书法、金石等课程，培养了一批兼具国学素养与专业能力的青年美术人才,《上海美专校史》、相关招生广告,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,宋若嬰,家庭/亲属,八子黄映嵩出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1926年(民国十五年 丙寅),上海,黄宾虹,爱德华·布鲁斯,收藏/交流,与来华收购古画的美国学者爱德华·布鲁斯交流书画鉴赏见解，推动中国传统美术的海外传播，二人此前已就中国美术相关议题有过深入交流,相关近代美术交流史料,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1928年(民国十七年 戊辰)四月,上海,黄宾虹,高燮,社交/通信,收到高燮来信，对方推荐女弟子朱砚英前来学画，询问是否招收女弟子；同时提及借抄《师说》事宜，并附赠《舒艺室》一书,高燮往来书信,不详,,,,,,,
1928年(民国十七年 戊辰)四月,上海,黄宾虹,俞剑华,艺术/题跋,为俞剑华山水作品题跋，评其画作承袭南宗正统笔法,《玉愚画趣》,不详,,,,,,,
1928年(民国十七年)五月,上海,黄宾虹,马骀,出版/序跋,为马骀《自习画谱大全》撰写序言,相关出版物资料,不详,,,,,,,
1928年(民国十七年)春,无锡,黄宾虹,陶冷月、王云僧、钱云鹤,社交/雅集,受徐悲鸿引荐，受聘暨南大学中国画史讲师，偕陶冷月等人同游无锡梅园并合影,陶冷月年表、合影题跋,不详,,,,,,,
1928年(民国十七年)春,上海,黄宾虹,陈刚叔、蔡逸民、熊松泉、张善孖、张大千、马企周、俞剑华,社交/社团,与诸人共同组建烂漫画社，被推举为社长，画社后续刊行同人画册,俞剑华回忆文稿,不详,,,,,,,
1928年(民国十七年)五月,上海,黄宾虹,张善孖,艺术/往来,为张善孖作画扇；张善孖来信借观新罗山人《野烧图》,张善孖往来书信,不详,,,,,,,
1928年(民国十七年)五月,上海,黄宾虹,无,艺术/创作,创作拟元人设色山水，取法元代山水格调,香港缘山堂藏品档案,不详,,,,,,,
1928年(民国十七年)五月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，谈及接手神州国光社相关事务，因事务繁忙暂缓广西讲学之行，同时提及与王秋湄相聚闲谈之事,黄宾虹与陈柱往来书信,不详,,,,,,,
1928年(民国十七年),上海,黄宾虹,陈柱,艺术/文论,致信陈柱，探讨书画笔力与气韵的关联，结合生活见闻阐释用笔、布白等画理,黄宾虹与陈柱往来书信,不详,,,,,,,
1928年(民国十七年)初夏,上海,黄宾虹,诸贞长,社交/赠礼,诸贞长携罗星桥所绘桂林山水册、《芙蓉池馆诗草》相赠，为其广西之行壮行色,《桂游日记》,不详,,,,,,,
1928年(民国十七年)6月3日,上海,黄宾虹,蔡元培、林风眠等,评审/任职,被大学院艺术教育委员会推举为全国美术展览会征集委员、审查委员,1928年6月12日《广州民国日报》,不详,,,,,,,
1928年(民国十七年)6月13日,上海,黄宾虹,天马会同人,艺术/展览,参加天马会第九届美术展览会，参展山水作品被评格调清远,1928年6月《申报》《时报》展评,不详,,,,,,,
1928年(民国十七年)下半年,上海,黄宾虹,陶冷月,学业/任职,正式就任暨南大学艺术院美术史讲师,1928年7月1日《申报》,不详,,,,,,,
1928年(民国十七年)7月,上海,黄宾虹,海上众多书画家,公益/创作,为莫干山肺病疗养院募集基金，与众名家联手创作书画捐献,1928年7月15日《申报》,不详,,,,,,,
1928年(民国十七年)夏秋,上海,黄宾虹,叶恭绰、黄蔼农、吴待秋等,社交/筹备,与众书画名家商议筹办中国文艺学院，因经费庞大暂未落地，筹备工作持续进行,近代美术史料,不详,,,,,,,
1928年(民国十七年)7月4日,上海/香港,黄宾虹,马君武、陈柱等,游历/出行,随广西暑期讲学讲师团从上海启程，途经香港，当地报界设宴接待，席间即兴挥毫,《华星三日刊》、《桂游日记》,不详,,,,,,,
1928年(民国十七年)7月,香港,黄宾虹,邓尔雅、黄般若,社交/雅集,在香港拜访邓尔雅，同游太平山，二人畅谈金石书画；为黄般若创作山水作品,《华星三日刊》,不详,,,,,,,
1928年(民国十七年)7月13日,梧州,黄宾虹,封濯吾,游历/出行,一行人抵达梧州，游览当地山水风貌，拜访封濯吾昆仲,《桂游日记》,不详,,,,,,,
1928年(民国十七年)7月,梧州/昭平/桂林,黄宾虹,陈柱、陈中凡等,游历/写生,乘舟沿漓江溯流而上，一路观赏山水、赋诗写生，记录沿途风物,《桂游日记》、陈中凡《游桂江记》,不详,,,,,,,
1928年(民国十七年)8月2日,桂林,黄宾虹,讲学团同仁,学业/讲学,广西暑期讲学会正式开讲，主讲金石学、书画史两大科目，系统讲授书画源流、笔墨技法等内容,1928年9月11日《民国日报》,不详,,,,,,,
1928年(民国十七年)8月,桂林,黄宾虹,当地各界人士,艺术/观展,参观桂林艺术展览会，品评历代书画古物，并发表观展感想,1928年9月18日《广州民国日报》,不详,,,,,,,
1928年(民国十七年)夏秋,桂林,黄宾虹,陈柱,艺术/创作,历时二十余日写生，创作数百幅作品，绘制《八桂豪游图》三丈山水长卷赠予陈柱,陈柱《八桂豪游图记》,不详,,,,,,,
1928年(民国十七年)9月,广州,黄宾虹,顾颉刚、罗莘田、黄节,社交/交往,归途途经广州，与顾颉刚、罗莘田、黄节等人会面相聚,顾颉刚日记,不详,,,,,,,
1928年(民国十七年)9月9日,广州,黄宾虹,广东国画研究会同人,社交/演讲,出席广东国画研究会欢迎大会，登台演讲世界美术流派、中国书画笔墨与南北宗理论,1928年9月11日《广州民国日报》,不详,,,,,,,
1928年(民国十七年)9月,广州,黄宾虹,蔡守、谈月色,艺术/授艺,到访蔡守寓所牟轩，当面为谈月色传授用笔、用墨技法,谈月色题跋、段拭《虹庐授学札记》,不详,,,,,,,
1928年(民国十七年)9月,广州,黄宾虹,高剑父,社交/交往,"登门拜访高剑父，见其门楣题写""艺术救国""四字，印象深刻",《改良国画问题之检讨》,不详,,,,,,,
1928年(民国十七年)9月,广州,黄宾虹,蔡守,收藏/鉴赏,出示漓江所得孟丽堂画作，与蔡守、谈月色一同品鉴临摹,蔡守题识,不详,,,,,,,
1928年(民国十七年)9月,广州,黄宾虹,李铁夫,社交/论艺,与留洋归来的李铁夫相识，二人畅谈中西画理，相见恨晚，返沪后作山水长卷相赠,近代美术史料、报刊记载,不详,,,,,,,
1928年(民国十七年)秋,广州,黄宾虹,无,收藏/鉴藏,在广州文德路画肆购得族祖黄吕《潭渡村居山水册》，珍视有加，后广征名家题咏,黄宾虹题跋、黄般若回忆文稿,不详,,,,,,,
1928年(民国十七年)秋,广州,黄宾虹,黄般若,艺术/创作,作画赠予黄般若,作品题款,不详,,,,,,,
1928年(民国十七年)秋,上海,黄宾虹,徐悲鸿,社交/往来,徐悲鸿邀请其出任北平艺专国画系主任，因神州国光社事务缠身婉言谢绝,《改良国画问题之检讨》,不详,,,,,,,
1928年(民国十七年)秋,上海,黄宾虹,陶冷月,艺术/题跋,为陶冷月《溪山独钓图》题跋；另作《漓江山色图》相赠,陶冷月手稿,不详,,,,,,,
1928年(民国十七年)10月5日,上海,黄宾虹,艺术界同仁,艺术/展览,参展上海艺术协会第一届展览会,1928年10月《申报》,不详,,,,,,,
1928年(民国十七年)秋,上海,黄宾虹,田福祺,艺术/题咏,为《挹珊先生机丝夜月图题咏集》题诗落款,图集题跋,不详,,,,,,,
1928年(民国十七年)10月25日,上海,黄宾虹,高燮家族,社交/悼唁,为高燮母亲李太夫人题写《高节孝李太夫人哀思录》端首，并作挽诗,《高节孝李太夫人哀思录》,不详,,,,,,,
